label,source,n_qubits,depth,num_gates,circuit,median_c2,mean_c2,max_c2,median_cancellation,operator_magic
sample_n1_d6_030,sample,1,6,6,T0 S0 S0 T0 H0 H0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.0
sample_n1_d7_001,sample,1,7,7,T0 T0 S0 T0 T0 H0 T0,0.0,0.0,0.0,0.0,0.28768207245177974
sample_n1_d7_002,sample,1,7,7,H0 H0 H0 T0 S0 H0 S0,2.0794415416798357,2.0794415416798357,2.0794415416798357,1.2130075659799044,0.2876820724517809
sample_n1_d7_003,sample,1,7,7,T0 S0 S0 H0 H0 H0 S0,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.6931471805599454,0.28768207245178
sample_n1_d7_004,sample,1,7,7,S0 H0 H0 S0 H0 S0 H0,2.0794415416798357,2.0794415416798357,2.0794415416798357,1.039720770839918,0.0
sample_n1_d7_005,sample,1,7,7,H0 T0 H0 H0 T0 T0 S0,1.3862943611198908,1.3862943611198908,1.3862943611198908,0.6931471805599452,0.2876820724517809
sample_n1_d7_006,sample,1,7,7,T0 S0 H0 H0 H0 S0 T0,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.6931471805599454,0.5753641449035625
sample_n1_d7_007,sample,1,7,7,T0 T0 S0 T0 S0 S0 T0,0.0,0.0,0.0,0.0,0.0
sample_n1_d7_008,sample,1,7,7,S0 S0 T0 T0 S0 H0 S0,0.0,0.0,0.0,0.0,0.0
sample_n1_d7_009,sample,1,7,7,S0 T0 H0 H0 S0 S0 T0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.0
sample_n1_d7_010,sample,1,7,7,T0 T0 T0 H0 S0 T0 H0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.519860385419959,0.5753641449035618
sample_n1_d7_011,sample,1,7,7,H0 H0 T0 S0 S0 S0 T0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.0
sample_n1_d7_012,sample,1,7,7,T0 H0 T0 T0 S0 T0 S0,0.0,0.0,0.0,0.0,0.5753641449035618
sample_n1_d7_013,sample,1,7,7,S0 S0 S0 T0 T0 T0 H0,0.0,0.0,0.0,0.0,0.28768207245178
