n_qubits,layers,t_density,expected_t_gates,repeat,circuit_seed,task,global_p2_estimate,global_k90_estimate,task_p2,exp_task_p2,k50,k90,k95,k90_lower_bound,k90_over_exp_p2,terminal_support,labels_requested,labels_used,capped_labels,avg_terminal_terms
8,5,0.3,12.0,0,637170551930282731,all_pauli,1.9512957189879059,459,2.4579300620897984,11.68060836501901,146,454,518,9.461292775665399,38.86783854166667,658,24,24,0,27.416666666666668
8,5,0.3,12.0,1,160670897989634319,local_z,3.2428839465354735,2232,0.6776429940239801,1.9692307692307693,6,18,20,1.5950769230769233,9.140625,23,8,8,0,2.875
8,5,0.3,12.0,1,160670897989634319,local_transverse,3.2428839465354735,2232,1.3862943611198906,4.0,22,71,84,3.24,17.75,104,16,16,0,10.75
8,5,0.3,12.0,1,160670897989634319,hamiltonian_terms,3.2428839465354735,2232,1.1629276204285688,3.199285873688909,25,118,152,2.591421557688016,36.883231026785715,225,21,21,0,16.571428571428573
8,5,0.3,12.0,1,160670897989634319,transported_local_z,3.2428839465354735,2232,1.6972323159705254,5.458818181047892,15,77,102,4.421642726648793,14.105617268465029,158,8,8,0,19.75
8,5,0.3,12.0,1,160670897989634319,all_pauli,3.2428839465354735,2232,3.133047168337607,22.94378671174096,231,1122,1429,18.58446723651018,48.902128236131226,2408,24,24,0,100.33333333333333
8,5,0.3,12.0,2,150409777860215013,local_z,0.9007865453381898,83,0.2876820724517809,1.3333333333333333,4,11,12,1.08,8.25,12,8,8,0,1.5
8,5,0.3,12.0,2,150409777860215013,local_transverse,0.9007865453381898,83,0.33024168687057687,1.391304347826087,8,22,25,1.1269565217391304,15.8125,28,16,16,0,1.75
8,5,0.3,12.0,2,150409777860215013,hamiltonian_terms,0.9007865453381898,83,0.5389965007326869,1.7142857142857142,16,38,42,1.3885714285714286,22.166666666666668,46,21,21,0,2.1904761904761907
8,5,0.3,12.0,2,150409777860215013,transported_local_z,0.9007865453381898,83,0.33024168687057687,1.391304347826087,4,11,13,1.1269565217391304,7.90625,14,8,8,0,1.75
8,5,0.3,12.0,2,150409777860215013,all_pauli,0.9007865453381898,83,0.6423748551865222,1.9009900990099011,19,51,56,1.53980198019802,26.828124999999996,64,24,24,0,2.6666666666666665
8,5,0.3,12.0,3,285388577092069120,local_z,1.5748855309274405,202,0.3746934494414107,1.4545454545454546,5,12,13,1.1781818181818182,8.25,13,8,8,0,1.625
8,5,0.3,12.0,3,285388577092069120,local_transverse,1.5748855309274405,202,0.8630462173553428,2.3703703703703702,13,41,47,1.92,17.296875,53,16,16,0,3.5625
8,5,0.3,12.0,3,285388577092069120,hamiltonian_terms,1.5748855309274405,202,0.7801585575495751,2.181818181818182,18,54,62,1.7672727272727276,24.749999999999996,70,21,21,0,3.3333333333333335
8,5,0.3,12.0,3,285388577092069120,transported_local_z,1.5748855309274405,202,1.114360645636249,3.0476190476190474,11,24,27,2.4685714285714284,7.875,30,8,8,0,3.75
8,5,0.3,12.0,3,285388577092069120,all_pauli,1.5748855309274405,202,1.7311348474116202,5.647058823529411,61,150,169,4.574117647058824,26.562500000000004,188,24,24,0,7.833333333333333
8,5,0.3,12.0,4,246446241987502677,local_z,2.8932292301388234,1066,0.7915872533731978,2.206896551724138,8,19,22,1.7875862068965518,8.609375,25,8,8,0,3.125
8,5,0.3,12.0,4,246446241987502677,local_transverse,2.8932292301388234,1066,1.398082316871933,4.047430830039525,20,59,71,3.2784189723320156,14.577148437500002,91,16,16,0,7.0
8,5,0.3,12.0,4,246446241987502677,hamiltonian_terms,2.8932292301388234,1066,1.1320905924873794,3.102135025966532,28,112,129,2.5127293710328913,36.104166666666664,165,21,21,0,9.380952380952381
8,5,0.3,12.0,4,246446241987502677,transported_local_z,2.8932292301388234,1066,1.5333091040817,4.633484162895926,15,43,55,3.7531221719457006,9.280273437500004,67,8,8,0,8.375
8,5,0.3,12.0,4,246446241987502677,all_pauli,2.8932292301388234,1066,3.039970435892104,20.90462519936204,216,892,1196,16.932746411483254,42.66998291015625,1791,24,24,0,74.625
8,5,0.3,12.0,5,74959160222867972,local_z,3.2575845460038564,1954,0.8177896257672219,2.265486725663717,7,21,25,1.8350442477876108,9.26953125,31,8,8,0,3.875
8,5,0.3,12.0,5,74959160222867972,local_transverse,3.2575845460038564,1954,1.7385149547092427,5.688888888888889,27,99,119,4.6080000000000005,17.40234375,152,16,16,0,15.1875
