n_qubits,layers,t_density,repeat,circuit_seed,task,log_k90,k90,global_operator_sre,t_count,active_t_count,task_p2
8,5,0.1,7,299997250960990718,local_z,2.5649493574615367,13,1.6533571463689358,6,0.75,0.3746934494414107
8,5,0.1,7,299997250960990718,local_transverse,3.4657359027997265,32,1.6533571463689358,6,1.25,0.7576857016975165
8,5,0.1,7,299997250960990718,hamiltonian_terms,3.828641396489095,46,1.6533571463689358,6,1.2380952380952381,0.7051233716066609
8,5,0.1,7,299997250960990718,all_pauli,5.375278407684165,216,1.6533571463689358,6,6.0,2.0286692163064126
8,5,0.1,8,138535339068738981,local_z,3.091042453358316,22,1.4847344339331432,6,1.25,0.48258241145259567
8,5,0.1,8,138535339068738981,local_transverse,3.912023005428146,50,1.4847344339331432,6,2.0,1.1263368366829645
8,5,0.1,8,138535339068738981,hamiltonian_terms,4.465908118654584,87,1.4847344339331432,6,2.1904761904761907,1.054937225165448
8,5,0.1,8,138535339068738981,all_pauli,4.875197323201151,131,1.4847344339331432,6,6.0,1.5021261766450122
8,5,0.1,9,508489603830173086,local_z,2.995732273553991,20,1.9308868473566987,7,1.25,0.43318965612301924
8,5,0.1,9,508489603830173086,local_transverse,4.2626798770413155,71,1.9308868473566987,7,2.125,0.8356472431672284
8,5,0.1,9,508489603830173086,hamiltonian_terms,4.454347296253507,86,1.9308868473566987,7,2.2857142857142856,0.9887974226609031
8,5,0.1,9,508489603830173086,all_pauli,5.556828061699537,259,1.9308868473566987,7,7.0,1.8731051086820074
8,5,0.1,10,325049603996323083,local_z,2.302585092994046,10,0.9450198003150154,6,0.625,0.2076393647782445
8,5,0.1,10,325049603996323083,local_transverse,2.772588722239781,16,0.9450198003150154,6,0.8125,0.24686007793152578
8,5,0.1,10,325049603996323083,hamiltonian_terms,3.58351893845611,36,0.9450198003150154,6,1.4285714285714286,0.4605248852911918
8,5,0.1,10,325049603996323083,all_pauli,4.564348191467836,96,0.9450198003150154,6,6.0,1.2411123512753928
8,5,0.1,11,823360538154411641,local_z,2.0794415416798357,8,0.6931471805599453,2,0.0,-0.0
8,5,0.1,11,823360538154411641,local_transverse,3.1354942159291497,23,0.6931471805599453,2,0.625,0.3746934494414107
8,5,0.1,11,823360538154411641,hamiltonian_terms,3.1354942159291497,23,0.6931471805599453,2,0.2857142857142857,0.15415067982725836
8,5,0.1,11,823360538154411641,all_pauli,3.9889840465642745,54,0.6931471805599453,2,2.0,0.6931471805599453
8,5,0.1,12,478798854263726346,local_z,2.3978952727983707,11,1.2411123512753928,4,0.5,0.2876820724517809
8,5,0.1,12,478798854263726346,local_transverse,2.995732273553991,20,1.2411123512753928,4,0.75,0.42121346507630353
8,5,0.1,12,478798854263726346,hamiltonian_terms,3.4657359027997265,32,1.2411123512753928,4,0.9523809523809523,0.4989911661189879
8,5,0.1,12,478798854263726346,all_pauli,4.276666119016055,72,1.2411123512753928,4,4.0,1.0831081021321445
