dataset,circuit_id,task,n_qubits,threshold,hit,target_mass,avg_retained_terms,relative_rms_error,best_relative_rms_error,best_avg_retained_terms,labels_used,capped_labels,status,layers,t_density,repeat,circuit_seed,model,periods,frame,detail,benchmark,size,gates,t_count
floquet,scrambling_floquet_p3_f1,all_pauli,8,0.1,True,0.98,3689.1666666666665,0.06750415344529004,4.569140103544858e-15,5583.041666666667,24,0,ok,,,,,scrambling,3,1,,,,,
floquet,scrambling_floquet_p3_f2,local_z,8,0.1,True,0.98,60.875,0.02986549278756378,2.532043989669197e-16,81.25,8,0,ok,,,,,scrambling,3,2,,,,,
floquet,scrambling_floquet_p3_f2,local_transverse,8,0.1,True,0.98,269.1875,0.05684974001292364,5.303082794898091e-16,374.8125,16,0,ok,,,,,scrambling,3,2,,,,,
floquet,scrambling_floquet_p3_f2,hamiltonian_terms,8,0.1,True,0.9,311.04761904761904,0.07763868960231955,2.9026449240016634e-16,628.3333333333334,21,0,ok,,,,,scrambling,3,2,,,,,
floquet,scrambling_floquet_p3_f2,all_pauli,8,0.1,True,0.98,4771.666666666667,0.06622264637847912,6.405235059041307e-15,7165.166666666667,24,0,ok,,,,,scrambling,3,2,,,,,
floquet,scrambling_floquet_p3_f3,local_z,8,0.1,True,0.98,34.125,0.02717353362001605,7.352848264992312e-18,41.5,8,0,ok,,,,,scrambling,3,3,,,,,
floquet,scrambling_floquet_p3_f3,local_transverse,8,0.1,True,0.95,187.625,0.09844281417284328,4.1488760470737743e-16,330.9375,16,0,ok,,,,,scrambling,3,3,,,,,
floquet,scrambling_floquet_p3_f3,hamiltonian_terms,8,0.1,True,0.9,292.8095238095238,0.0780884958058478,2.839858476221961e-16,592.0952380952381,21,0,ok,,,,,scrambling,3,3,,,,,
floquet,scrambling_floquet_p3_f3,all_pauli,8,0.1,True,1.0,7271.583333333333,3.203378418510575e-15,3.203378418510575e-15,7271.583333333333,24,0,ok,,,,,scrambling,3,3,,,,,
floquet,scrambling_floquet_p4_f0,local_z,8,0.1,True,0.9,302.75,0.06818799229704463,5.868211490853259e-16,568.5,8,0,ok,,,,,scrambling,4,0,,,,,
floquet,scrambling_floquet_p4_f0,local_transverse,8,0.1,True,0.98,256.0,0.06303397490287053,3.1285251460262363e-16,321.0,16,0,ok,,,,,scrambling,4,0,,,,,
floquet,scrambling_floquet_p4_f0,hamiltonian_terms,8,0.1,True,0.95,720.1904761904761,0.07896855044202082,1.170963727982559e-15,1201.142857142857,21,0,ok,,,,,scrambling,4,0,,,,,
floquet,scrambling_floquet_p4_f0,all_pauli,8,0.1,True,0.99,17961.5,0.07517538659196686,5.8547810207553334e-15,25019.666666666668,24,0,ok,,,,,scrambling,4,0,,,,,
floquet,scrambling_floquet_p4_f1,local_z,8,0.1,True,0.98,85.5,0.037651553037619356,3.1542080523980776e-16,121.125,8,0,ok,,,,,scrambling,4,1,,,,,
floquet,scrambling_floquet_p4_f1,local_transverse,8,0.1,True,0.9,669.5625,0.07395351688407167,9.789441426831494e-16,1424.75,16,0,ok,,,,,scrambling,4,1,,,,,
floquet,scrambling_floquet_p4_f1,hamiltonian_terms,8,0.1,True,0.95,1113.4761904761904,0.08032180089995325,1.2655033744942312e-15,1942.047619047619,21,0,ok,,,,,scrambling,4,1,,,,,
floquet,scrambling_floquet_p4_f1,all_pauli,8,0.1,True,0.99,21480.458333333332,0.09468343676809068,1.0778010336657332e-14,30275.166666666668,24,0,ok,,,,,scrambling,4,1,,,,,
floquet,scrambling_floquet_p4_f2,local_z,8,0.1,True,0.95,341.375,0.07082068525142263,5.530178430465619e-16,563.25,8,0,ok,,,,,scrambling,4,2,,,,,
floquet,scrambling_floquet_p4_f2,local_transverse,8,0.1,True,0.95,1522.25,0.07514133219140438,1.224337066983227e-15,2665.625,16,0,ok,,,,,scrambling,4,2,,,,,
floquet,scrambling_floquet_p4_f2,hamiltonian_terms,8,0.1,True,0.9,1747.5238095238096,0.09490196946286224,1.3229875711379489e-15,4077.4761904761904,21,0,ok,,,,,scrambling,4,2,,,,,
floquet,scrambling_floquet_p4_f2,all_pauli,8,0.1,True,0.98,14612.375,0.09252090597497596,9.771664780525374e-15,22460.291666666668,24,0,ok,,,,,scrambling,4,2,,,,,
floquet,scrambling_floquet_p4_f3,local_z,8,0.1,True,0.9,253.625,0.05130797722090477,4.1414042369621e-16,514.5,8,0,ok,,,,,scrambling,4,3,,,,,
floquet,scrambling_floquet_p4_f3,local_transverse,8,0.1,True,0.95,1675.25,0.053539822667906134,1.067151299228183e-15,3004.1875,16,0,ok,,,,,scrambling,4,3,,,,,
floquet,scrambling_floquet_p4_f3,hamiltonian_terms,8,0.1,True,0.95,2358.8571428571427,0.09691313804648764,1.0642004397820507e-15,4616.714285714285,21,0,ok,,,,,scrambling,4,3,,,,,
floquet,scrambling_floquet_p4_f3,all_pauli,8,0.1,True,1.0,29536.416666666668,1.904647070479313e-14,1.904647070479313e-14,29536.416666666668,24,0,ok,,,,,scrambling,4,3,,,,,
mqt,bv_3,,,0.1,False,nan,nan,nan,nan,nan,0,0,t_count,,,,,,,,0,,,,
mqt,bv_5,,,0.1,False,nan,nan,nan,nan,nan,0,0,t_count,,,,,,,,0,,,,
mqt,bv_7,,,0.1,False,nan,nan,nan,nan,nan,0,0,t_count,,,,,,,,0,,,,
mqt,dj_5,,,0.1,False,nan,nan,nan,nan,nan,0,0,t_count,,,,,,,,0,,,,
mqt,dj_7,,,0.1,False,nan,nan,nan,nan,nan,0,0,t_count,,,,,,,,0,,,,
mqt_core,grover_3,local_z,3,0.1,True,0.9,3.0,0.0,0.0,3.0,3,0,ok,,,,,,,,,grover,3,27,7
mqt_core,grover_3,local_transverse,3,0.1,True,0.9,4.0,0.0,0.0,4.0,6,0,ok,,,,,,,,,grover,3,27,7
mqt_core,grover_3,hamiltonian_terms,3,0.1,True,0.9,3.5,0.0,0.0,3.5,6,0,ok,,,,,,,,,grover,3,27,7
mqt_core,grover_3,all_pauli,3,0.1,True,0.9,3.671875,0.0,0.0,3.671875,64,0,ok,,,,,,,,,grover,3,27,7
mqt_core,half_adder_3,local_z,3,0.1,True,0.9,2.0,0.0,0.0,2.0,3,0,ok,,,,,,,,,half_adder,3,16,7
mqt_core,half_adder_3,local_transverse,3,0.1,True,0.9,3.5,0.0,0.0,3.5,6,0,ok,,,,,,,,,half_adder,3,16,7
