family,n_qubits,window_width,task,task_description,operator_magic,task_p2,exp_task_p2,k90,log10_k90,k90_per_window,terminal_support,labels_requested,labels_used,capped_labels,avg_terminal_terms,all_pauli_log10_k90,log10_k90_over_all_pauli,k90_over_all_pauli
local_window_stress,96,3,window_z_string,contiguous local Z string averaged over positions,nan,1.8520516994841751,6.372881355932204,782.0,2.893206753059848,8.319148936170214,932.0,94,94,0,9.914893617021276,57.75200167692371,-54.85879492386386,1.3842198605617686e-55
local_window_stress,96,3,window_x_string,contiguous local X string averaged over positions,nan,2.6182480908496,13.711680911680912,2841.0,3.453471233722936,30.22340425531915,4044.0,94,94,0,43.02127659574468,57.75200167692371,-54.298530443200775,5.0288601328081466e-55
local_window_stress,96,3,window_xy_ensemble,all transverse X/Y strings inside each local window,nan,3.0025707623839555,20.13723849372385,8698.0,3.939419403329317,92.53191489361703,11104.0,752,752,0,48.93617021276596,57.75200167692371,-53.812582273594394,1.539634827003352e-54
local_window_stress,96,4,window_z_string,contiguous local Z string averaged over positions,nan,2.761893433123033,15.829787234042554,1332.0,3.1245042248342823,14.32258064516129,1480.0,93,93,0,15.913978494623656,57.75200167692371,-54.62749745208943,2.3577760284760464e-55
local_window_stress,96,4,window_x_string,contiguous local X string averaged over positions,nan,3.258306573518253,26.005461496450028,5656.0,3.752509400788843,60.81720430107527,8036.0,93,93,0,86.40860215053763,57.75200167692371,-53.999492276134866,1.0011697610405842e-54
local_window_stress,96,4,window_xy_ensemble,all transverse X/Y strings inside each local window,nan,3.652097869130686,38.55546558704454,21213.0,4.3266020919636485,228.09677419354838,30736.0,1488,1488,0,98.17204301075269,57.75200167692371,-53.42539958496006,3.7549176345392277e-54
local_window_stress,96,5,window_z_string,contiguous local Z string averaged over positions,nan,3.2382539498869187,25.48917748917749,3060.0,3.48572142648158,33.26086956521739,3648.0,92,92,0,39.65217391304348,57.75200167692371,-54.26628025044213,5.416512497850401e-55
local_window_stress,96,5,window_x_string,contiguous local X string averaged over positions,nan,4.004344280104292,54.835855646100114,11114.0,4.04587039244936,120.80434782608695,15824.0,92,92,0,172.0,57.75200167692371,-53.70613128447435,1.9672915000362369e-54
local_window_stress,96,5,window_xy_ensemble,all transverse X/Y strings inside each local window,nan,4.388501354856691,80.51965811965812,68071.0,4.8329621306735255,739.9021739130435,86912.0,2944,2944,0,195.65217391304347,57.75200167692371,-52.91903954625019,1.2049262164744102e-53
local_window_stress,96,nan,all_pauli,"uniform all-Pauli endpoint, analytic",nan,nan,nan,5.649391561847978e+57,57.75200167692371,nan,6.277101735386637e+57,nan,nan,0,nan,57.75200167692371,0.0,1.0
